workload,target_load,n_windows,sjf_ctx_mean,proposed_mean,predictor_gain_pct,windows_predictor_helps,wilcoxon_p_onesided
code,0.6,11,1129.4976117144406,1129.4523233148602,-0.011331463321408249,6,0.34765625
code,0.75,11,1641.1256725198255,1639.8353514810428,0.07433169907314721,5,0.41552734375
code,0.85,11,2809.21169493898,2803.442944270079,-0.06023490404004632,5,0.58447265625
code,0.92,11,6336.993489561647,6327.278730484153,0.5019218334910399,5,0.61767578125
code,0.98,11,15618.613248370653,15196.121280265186,3.4511359824223815,9,0.00927734375
conv,0.6,20,223.2012027213663,223.20233436403615,-0.0005396462712494871,6,0.22063406666446483
conv,0.75,20,284.244076572449,284.24743746927845,-0.0005987518428871925,8,0.6109114102385843
conv,0.85,20,335.9551640579801,335.66370806553647,0.09665369276132249,8,0.4491586685180664
conv,0.92,20,505.05668111981987,505.63760435038773,-0.11065957532315795,10,0.3920631408691406
conv,0.98,20,1219.1157251096315,1213.4821450039958,0.38591282671460825,13,0.026584625244140625
