workload,decode_scale,prefill_share_pct,improvement_pct,oracle_gap_recovered_pct
code,0.5,99.40326762656233,51.951210948001595,77.2248797132524
code,1.0,98.81363034741253,52.10951404611586,75.85710823311214
code,2.0,97.65513977153408,52.7024136049934,76.25587826406591
code,4.0,95.41794727108682,51.886234845795165,75.29111541442927
code,8.0,91.23815159581942,50.98197002372236,74.98121693051198
conv,0.5,95.56517846094515,58.42016258916061,94.87774044310258
conv,1.0,91.50721777055519,58.339961301460704,91.21447224330069
conv,2.0,84.34469504367333,58.22774568177519,84.0496490704414
conv,4.0,72.92916024365006,57.596222261757624,75.28994516273332
conv,8.0,57.39506612607079,57.539707380718426,70.50647865226759
