workload,target_load,cb_sjf_work,fcfs,oracle_sjf,oracle_work,predicted_sjf,sjf_context
code,0.6,0.17736666666666667,0.17614444444444444,0.1773111111111111,0.17738888888888887,0.17688888888888887,0.1773
code,0.75,0.1267333333333333,0.11676666666666666,0.1260666666666667,0.12711111111111112,0.12183333333333332,0.12695555555555554
code,0.85,0.10423333333333333,0.07578888888888888,0.10212222222222223,0.10469999999999999,0.08983333333333333,0.10389999999999999
code,0.92,0.09666666666666666,0.04554444444444444,0.09285555555555555,0.09647777777777777,0.07046666666666666,0.09691111111111111
code,0.98,0.09784444444444444,0.018688888888888887,0.08727777777777777,0.09536666666666667,0.05803333333333334,0.09709999999999999
conv,0.6,0.3930444444444444,0.39184444444444444,0.39235555555555557,0.39293333333333336,0.39295555555555556,0.39303333333333335
conv,0.75,0.31861111111111107,0.3032444444444445,0.3147666666666667,0.3183666666666667,0.3165111111111111,0.3187111111111111
conv,0.85,0.28156666666666663,0.22126666666666667,0.2692,0.28178888888888887,0.2764111111111111,0.28194444444444444
conv,0.92,0.2605444444444444,0.1351222222222222,0.24116666666666667,0.25945555555555555,0.2524888888888889,0.25916666666666666
conv,0.98,0.24818888888888888,0.0431,0.2255333333333333,0.24671111111111116,0.23116666666666666,0.24824444444444443
