workload,target_load,n_windows,fcfs_p99_s,proposed_p99_s,p99_ratio_mean,p99_ratio_max,windows_tail_worse,oracle_sjf_p99_s,oracle_work_p99_s,sjf_context_p99_s
code,0.6,11,32.59456677034319,32.789313682604345,1.00507391615674,1.0277187271370354,7,34.03161146562002,32.83493195945932,32.78336062545879
code,0.75,11,73.47074947656245,78.65034160343501,1.0547478235981946,1.186712314249883,9,99.49883727859701,77.7375822872966,79.17658046897158
code,0.85,11,140.1499119223586,204.30082816511893,1.3300624405813648,2.477886544837584,10,358.05221633410844,199.4029407471814,205.95367614488427
code,0.92,11,270.7235217180285,555.6221151349065,1.701477024490692,3.253096267437544,10,1261.4902966430002,527.5219680851195,562.3346017026281
code,0.98,11,475.72536578716716,1742.6930081608662,3.1186761744569407,6.062449424149989,11,3108.034191391622,1573.647460006938,1772.0621271603757
conv,0.6,20,28.743422641119416,28.72963463061756,0.9995546552740148,1.002769118262221,7,28.77668424592315,28.73746996418442,28.730819096030444
conv,0.75,20,45.66465218875705,45.72212399703111,1.001606631368373,1.024708351576943,13,46.4476723425626,45.86689961735981,45.72657260912501
conv,0.85,20,68.04836406576136,66.23114086787432,0.9778621708629192,1.0407665685519638,10,71.56143748947669,66.55113378220777,66.15773593595522
conv,0.92,20,104.19804004064886,103.52838451807884,1.003769161029831,1.2710274192333917,12,129.40199127607113,102.13256752009862,103.05593945964884
conv,0.98,20,195.80792013019385,431.1719485050609,1.8621806183744503,4.566814068212708,20,519.2312039226374,384.98179369919205,428.5851161325043
